policyID,statecode,county,line,construction,point_granularity
797586,FL,CLAY COUNTY,Commercial,Reinforced Masonry,1
812823,FL,CLAY COUNTY,Residential,Wood,1
598244,FL,CLAY COUNTY,Residential,Masonry,3
788363,FL,CLAY COUNTY,Residential,Wood,1
737787,FL,CLAY COUNTY,Residential,Wood,1
445518,FL,CLAY COUNTY,Residential,Wood,1
758347,FL,CLAY COUNTY,Residential,Masonry,1
195133,FL,CLAY COUNTY,Residential,Wood,1
991548,FL,CLAY COUNTY,Residential,Masonry,1
696936,FL,CLAY COUNTY,Residential,Wood,3
393176,FL,CLAY COUNTY,Residential,Wood,3
626647,FL,CLAY COUNTY,Residential,Wood,3
915781,FL,CLAY COUNTY,Residential,Masonry,3
827852,FL,CLAY COUNTY,Residential,Wood,3
800420,FL,CLAY COUNTY,Residential,Wood,1
728346,FL,CLAY COUNTY,Commercial,Reinforced Masonry,1
928642,FL,CLAY COUNTY,Residential,Wood,1
442061,FL,CLAY COUNTY,Residential,Wood,1
810826,FL,CLAY COUNTY,Residential,Wood,1
336798,FL,CLAY COUNTY,Residential,Wood,1
830917,FL,CLAY COUNTY,Residential,Wood,1
984232,FL,CLAY COUNTY,Residential,Masonry,1
203667,FL,CLAY COUNTY,Residential,Wood,1
395084,FL,CLAY COUNTY,Residential,Wood,1
869242,FL,CLAY COUNTY,Residential,Wood,1
704537,FL,CLAY COUNTY,Residential,Wood,4
692691,FL,CLAY COUNTY,Residential,Wood,3
580758,FL,CLAY COUNTY,Residential,Wood,1
515486,FL,CLAY COUNTY,Residential,Wood,1
884079,FL,CLAY COUNTY,Residential,Wood,1
491095,FL,CLAY COUNTY,Residential,Masonry,4
579764,FL,CLAY COUNTY,Residential,Wood,1
263177,FL,CLAY COUNTY,Residential,Wood,1
710739,FL,CLAY COUNTY,Residential,Wood,3
156129,FL,CLAY COUNTY,Residential,Wood,1
178800,FL,BRADFORD COUNTY,Residential,Wood,1
406073,FL,BRADFORD COUNTY,Residential,Wood,3
450089,FL,BRADFORD COUNTY,Residential,Wood,1
894206,FL,NASSAU COUNTY,Residential,Wood,1
472007,FL,NASSAU COUNTY,Residential,Masonry,4
500287,FL,NASSAU COUNTY,Residential,Masonry,4
365732,FL,NASSAU COUNTY,Residential,Wood,3
365145,FL,NASSAU COUNTY,Residential,Wood,3
237841,FL,NASSAU COUNTY,Residential,Wood,3
497561,FL,NASSAU COUNTY,Residential,Wood,1
245837,FL,NASSAU COUNTY,Residential,Masonry,1
732075,FL,NASSAU COUNTY,Residential,Wood,3
657625,FL,NASSAU COUNTY,Commercial,Reinforced Masonry,1
790556,FL,NASSAU COUNTY,Residential,Wood,1
207626,FL,NASSAU COUNTY,Residential,Wood,3
902008,FL,NASSAU COUNTY,Residential,Masonry,1
135936,FL,HAMILTON COUNTY,Residential,Wood,3
997759,FL,HAMILTON COUNTY,Residential,Wood,3
470224,FL,HAMILTON COUNTY,Residential,Wood,3
367761,FL,HAMILTON COUNTY,Residential,Wood,1
285586,FL,HAMILTON COUNTY,Residential,Wood,1
122164,FL,HAMILTON COUNTY,Residential,Wood,4
152913,FL,HAMILTON COUNTY,Residential,Wood,3
655156,FL,HAMILTON COUNTY,Residential,Wood,1
989201,FL,HAMILTON COUNTY,Residential,Wood,1
207985,FL,HAMILTON COUNTY,Residential,Wood,4
732449,FL,HAMILTON COUNTY,Residential,Wood,1
665653,FL,HAMILTON COUNTY,Residential,Wood,1
939634,FL,HAMILTON COUNTY,Residential,Masonry,4
981796,FL,HAMILTON COUNTY,Residential,Wood,4
269573,FL,HAMILTON COUNTY,Residential,Wood,3
602123,FL,HAMILTON COUNTY,Residential,Wood,4
336717,FL,HAMILTON COUNTY,Residential,Wood,1
238449,FL,HAMILTON COUNTY,Residential,Wood,3
530357,FL,HAMILTON COUNTY,Residential,Wood,3
896911,FL,HAMILTON COUNTY,Residential,Wood,3
391646,FL,HAMILTON COUNTY,Residential,Wood,3
710345,FL,HAMILTON COUNTY,Residential,Wood,3
944525,FL,HAMILTON COUNTY,Residential,Wood,4
800878,FL,HAMILTON COUNTY,Residential,Wood,3
866106,FL,HAMILTON COUNTY,Residential,Wood,1
204794,FL,HAMILTON COUNTY,Residential,Wood,1
849458,FL,HAMILTON COUNTY,Residential,Wood,4
806471,FL,HAMILTON COUNTY,Residential,Wood,3
464589,FL,HAMILTON COUNTY,Residential,Wood,1
591943,FL,UNION COUNTY,Residential,Masonry,3
973133,FL,UNION COUNTY,Residential,Wood,3
743965,FL,UNION COUNTY,Residential,Wood,1
528185,FL,UNION COUNTY,Residential,Wood,3
219113,FL,UNION COUNTY,Residential,Wood,3
376803,FL,UNION COUNTY,Residential,Masonry,1
233559,FL,COLUMBIA COUNTY,Residential,Masonry,1
579117,FL,COLUMBIA COUNTY,Residential,Wood,4
517674,FL,COLUMBIA COUNTY,Residential,Wood,1
980808,FL,COLUMBIA COUNTY,Residential,Wood,1
143584,FL,COLUMBIA COUNTY,Residential,Masonry,1
489643,FL,COLUMBIA COUNTY,Residential,Masonry,3
986109,FL,COLUMBIA COUNTY,Residential,Wood,4
654640,FL,COLUMBIA COUNTY,Residential,Wood,1
700895,FL,COLUMBIA COUNTY,Residential,Masonry,4
407962,FL,COLUMBIA COUNTY,Commercial,Steel Frame,3
494610,FL,COLUMBIA COUNTY,Residential,Wood,1
744305,FL,COLUMBIA COUNTY,Residential,Wood,1
512991,FL,COLUMBIA COUNTY,Residential,Wood,1
507789,FL,COLUMBIA COUNTY,Residential,Wood,4
186262,FL,COLUMBIA COUNTY,Commercial,Reinforced Masonry,1
978388,FL,COLUMBIA COUNTY,Residential,Wood,1
784347,FL,COLUMBIA COUNTY,Residential,Masonry,1
679408,FL,COLUMBIA COUNTY,Residential,Wood,1
306619,FL,COLUMBIA COUNTY,Residential,Wood,1
457004,FL,COLUMBIA COUNTY,Residential,Wood,1
329255,FL,COLUMBIA COUNTY,Residential,Wood,3
900892,FL,COLUMBIA COUNTY,Residential,Wood,3
633241,FL,COLUMBIA COUNTY,Residential,Wood,3
502372,FL,COLUMBIA COUNTY,Residential,Wood,3
719075,FL,COLUMBIA COUNTY,Residential,Wood,3
920786,FL,COLUMBIA COUNTY,Residential,Wood,4
232605,FL,COLUMBIA COUNTY,Residential,Wood,1
601984,FL,COLUMBIA COUNTY,Residential,Wood,4
459878,FL,COLUMBIA COUNTY,Residential,Wood,1
565530,FL,COLUMBIA COUNTY,Residential,Masonry,1
202651,FL,COLUMBIA COUNTY,Commercial,Reinforced Masonry,1
909104,FL,COLUMBIA COUNTY,Residential,Wood,4
872719,FL,COLUMBIA COUNTY,Residential,Wood,4
997611,FL,COLUMBIA COUNTY,Residential,Wood,4
519606,FL,COLUMBIA COUNTY,Residential,Wood,3
624248,FL,COLUMBIA COUNTY,Residential,Masonry,4
783767,FL,COLUMBIA COUNTY,Residential,Wood,3
285479,FL,COLUMBIA COUNTY,Residential,Wood,3
424793,FL,COLUMBIA COUNTY,Residential,Wood,4
256213,FL,COLUMBIA COUNTY,Residential,Wood,3
155199,FL,COLUMBIA COUNTY,Residential,Wood,4
830871,FL,COLUMBIA COUNTY,Residential,Wood,4
757768,FL,COLUMBIA COUNTY,Residential,Wood,3
176583,FL,COLUMBIA COUNTY,Residential,Wood,4
678864,FL,COLUMBIA COUNTY,Residential,Wood,4
854000,FL,COLUMBIA COUNTY,Residential,Wood,3
631978,FL,COLUMBIA COUNTY,Residential,Wood,4
967058,FL,COLUMBIA COUNTY,Residential,Wood,4
878374,FL,COLUMBIA COUNTY,Residential,Wood,4
113053,FL,COLUMBIA COUNTY,Residential,Wood,4
288738,FL,COLUMBIA COUNTY,Residential,Wood,4
594369,FL,COLUMBIA COUNTY,Residential,Wood,4
706890,FL,COLUMBIA COUNTY,Residential,Wood,4
536032,FL,COLUMBIA COUNTY,Residential,Wood,4
747825,FL,COLUMBIA COUNTY,Residential,Wood,4
608124,FL,COLUMBIA COUNTY,Residential,Wood,4
934739,FL,COLUMBIA COUNTY,Residential,Wood,4
757078,FL,COLUMBIA COUNTY,Residential,Wood,4
956518,FL,COLUMBIA COUNTY,Residential,Wood,4
548584,FL,COLUMBIA COUNTY,Residential,Wood,4
132904,FL,COLUMBIA COUNTY,Residential,Wood,4
111857,FL,COLUMBIA COUNTY,Residential,Wood,4
388383,FL,COLUMBIA COUNTY,Residential,Wood,4
276410,FL,BRADFORD COUNTY,Residential,Wood,1
546756,FL,BRADFORD COUNTY,Residential,Wood,1
669229,FL,MADISON COUNTY,Residential,Wood,1
766573,FL,MADISON COUNTY,Residential,Wood,1
765578,FL,MADISON COUNTY,Residential,Wood,3
166613,FL,MADISON COUNTY,Commercial,Reinforced Masonry,4
883261,FL,MADISON COUNTY,Residential,Masonry,4
842655,FL,MADISON COUNTY,Residential,Masonry,1
248167,FL,SUWANNEE COUNTY,Residential,Masonry,3
976562,FL,SUWANNEE COUNTY,Residential,Wood,1
620457,FL,SUWANNEE COUNTY,Residential,Wood,3
336697,FL,SUWANNEE COUNTY,Residential,Masonry,3
648295,FL,SUWANNEE COUNTY,Residential,Wood,4
858080,FL,SUWANNEE COUNTY,Residential,Wood,3
579910,FL,SUWANNEE COUNTY,Residential,Masonry,3
735184,FL,SUWANNEE COUNTY,Residential,Wood,3
420445,FL,SUWANNEE COUNTY,Residential,Wood,4
373504,FL,SUWANNEE COUNTY,Residential,Wood,1
266080,FL,SUWANNEE COUNTY,Residential,Wood,3
178535,FL,SUWANNEE COUNTY,Residential,Masonry,4
574531,FL,BAKER COUNTY,Residential,Wood,3
606491,FL,BAKER COUNTY,Residential,Wood,3
885991,FL,BAKER COUNTY,Residential,Masonry,1
908170,FL,BAKER COUNTY,Residential,Wood,1
487022,FL,BAKER COUNTY,Residential,Masonry,1
723719,FL,BAKER COUNTY,Residential,Wood,1
628922,FL,BAKER COUNTY,Residential,Wood,1
232316,FL,BAKER COUNTY,Commercial,Reinforced Masonry,4
151933,FL,BAKER COUNTY,Residential,Wood,1
225577,FL,BAKER COUNTY,Residential,Wood,1
443296,FL,BAKER COUNTY,Residential,Wood,1
